Ministry,Position,Name,Category,Type,DateIncurred,Amount,Description,Receipt
"Agriculture and Rural Development","Executive Director","Munroe,Clifford","Travel","Meals","10/10/2012","$20.75","Counter Terrorism Seminar: Dinner allowance",""
"Agriculture and Rural Development","Executive Director","Munroe,Clifford","Travel","Mileage","10/10/2012","$333.81","Counter Terrorism Seminar: Edmonton/Calgary return",""
"Agriculture and Rural Development","Executive Director","Munroe,Clifford","Travel","Other Costs","10/12/2012","$7.35","Counter Terrorism Seminar: Per Diem",""
"Agriculture and Rural Development","Executive Director","Munroe,Clifford","Travel","Other Costs","10/11/2012","$7.35","Counter Terrorism Seminar: Per Diem",""
"Agriculture and Rural Development","Executive Director","Munroe,Clifford","Travel","Meals","10/12/2012","$11.60","Counter Terrorism Seminar: Lunch allowance",""
"Agriculture and Rural Development","Executive Director","Munroe,Clifford","Travel","Accommodations","10/10/2012","$127.44","Counter Terrorism Seminar: Hotel Alma, Calgary","http://expenses.alberta.ca/files/2012-12/munrocl_20121010.pdf"
"Agriculture and Rural Development","Executive Director","Munroe,Clifford","Travel","Accommodations","10/11/2012","$127.44","Counter Terrorism Seminar: Hotel Alma, Calgary","http://expenses.alberta.ca/files/2012-12/munrocl_20121011.pdf"
"Agriculture and Rural Development","Executive Director","Gossen,Ken James","Travel","Meals","10/10/2012","$20.75","AG for Life Meeting: Dinner allowance",""
"Agriculture and Rural Development","Executive Director","Gossen,Ken James","Travel","Other Costs","10/11/2012","$7.35","AG for Life Meeting: Per Diem",""
"Agriculture and Rural Development","Executive Director","Gossen,Ken James","Travel","Other Costs","10/11/2012","$24.00","AG for Life Meeting: Parking - West park, Calgary","http://expenses.alberta.ca/files/2012-12/gosseke_20121011_01.pdf"
"Agriculture and Rural Development","Executive Director","Gossen,Ken James","Travel","Meals","10/11/2012","$11.60","AG for Life Meeting: Lunch allowance",""
"Agriculture and Rural Development","Executive Director","Gossen,Ken James","Travel","Accommodations","10/11/2012","$144.82","AG for Life Meeting - County Inn and Suites, Calgary","http://expenses.alberta.ca/files/2012-12/gosseke_20121011_02.pdf"
"Agriculture and Rural Development","General Mgr. Marketing Council","Molenkamp-Oudman,Freda","Travel","Meals","10/14/2012","$9.20","National Association of Agricultural Supervisory Agencies Meeting: Breakfast allowance",""
"Agriculture and Rural Development","General Mgr. Marketing Council","Molenkamp-Oudman,Freda","Travel","Meals","10/15/2012","$9.86","National Association of Agricultural Supervisory Agencies Meeting - Breakfast - Bay Street Bistro","http://expenses.alberta.ca/files/2012-12/molenfr_20121015_01.pdf"
"Agriculture and Rural Development","General Mgr. Marketing Council","Molenkamp-Oudman,Freda","Travel","Meals","10/14/2012","$26.17","National Association of Agricultural Supervisory Agencies Meeting - Dinner - Spark's Lounge","http://expenses.alberta.ca/files/2012-12/molenfr_20121014_01.pdf"
"Agriculture and Rural Development","General Mgr. Marketing Council","Molenkamp-Oudman,Freda","Travel","Meals","10/15/2012","$20.75","National Association of Agricultural Supervisory Agencies Meeting: Dinner allowance",""
"Agriculture and Rural Development","General Mgr. Marketing Council","Molenkamp-Oudman,Freda","Travel","Ground Transportation","10/14/2012","$33.98","National Association of Agricultural Supervisory Agencies Meeting:  Westway Taxi","http://expenses.alberta.ca/files/2012-12/molenfr_20121014_02.pdf"
"Agriculture and Rural Development","General Mgr. Marketing Council","Molenkamp-Oudman,Freda","Travel","Ground Transportation","10/15/2012","$13.81","National Association of Agricultural Supervisory Agencies Meeting: Blue Line Taxi","http://expenses.alberta.ca/files/2012-12/molenfr_20121015_02.pdf"
"Agriculture and Rural Development","General Mgr. Marketing Council","Molenkamp-Oudman,Freda","Travel","Meals","10/14/2012","$30.02","National Association of Agricultural Supervisory Agencies Meeting - Lunch - Bay Street Bistro","http://expenses.alberta.ca/files/2012-12/molenfr_20121014_03.pdf"
"Agriculture and Rural Development","General Mgr. Marketing Council","Molenkamp-Oudman,Freda","Travel","Other Costs","10/15/2012","$7.35","National Association of Agricultural Supervisory Agencies Meeting: Per Diem",""
